dft,model
-4.833305824,-4.840789318
-4.796989771,-4.796868801
-4.755226296,-4.755479813
-4.883794465,-4.885224819
-4.559085647,-4.580973148
-5.705909332,-5.704855919
-4.929842396,-4.933162212
-4.767793121,-4.768063068
-4.329851781,-4.33145237
-4.964473251,-4.957275867
-4.212228534,-4.211173534
-4.680617265,-4.677490711
-4.78329607,-4.786878109
-4.614255856,-4.623247623
-3.884875302,-3.886578083
-4.554397732,-4.563243389
-4.492602551,-4.493065357
-4.593674322,-4.603191376
-4.691474856,-4.685230732
-4.782303359,-4.78064394
-4.769111116,-4.769846439
-4.42067219,-4.42191267
-4.688004952,-4.68109417
-4.675706419,-4.673971653
-4.567410098,-4.579560757
-4.538094572,-4.540904522
-4.790810826,-4.78864193
-5.666110804,-5.662404537
-5.15664413,-5.156401157
-4.742731297,-4.739428043
-4.744233696,-4.743970871
-3.734302491,-3.738743305
-4.767386447,-4.767028332
-4.777129782,-4.778087139
-4.64415435,-4.647045612
-3.85622239,-3.855300426
-5.672913229,-5.674153805
-4.386476618,-4.394865513
-5.349558385,-5.347591877
-4.384072747,-4.38152647
-4.598968855,-4.60482502
-4.77204992,-4.772071362
-4.542334155,-4.542620182
-5.317346177,-5.328941822
-4.524637905,-4.531868458
