idx,avg
736,-2.259912015
737,-2.47032284
738,-2.189647134
739,-2.249559487
740,-2.547862365
741,-2.536613713
742,-2.351291971
743,-2.145069879
744,-2.167989987
745,-2.453359061
746,-2.438617538
747,-2.222267121
748,-2.448131718
749,-2.186473703
750,-2.535648912
751,-2.499937987
752,-2.515673175
753,-2.456555943
754,-2.128368696
755,-2.167607263
756,-2.468792252
757,-2.498356449
758,-2.246072747
759,-2.302956039
760,-2.277901423
761,-2.47319002
762,-2.226028595
763,-2.269242375
764,-2.502667059
765,-2.46630603
766,-2.135254691
767,-2.182701159
768,-2.15097266
769,-2.483590485
770,-2.504832066
771,-2.452145142
772,-2.230965584
773,-2.471267805
774,-2.228281804
775,-2.409133939
776,-2.143479038
777,-2.399688009
778,-2.152081858
779,-2.216152642
780,-2.301424712
781,-2.164003885
782,-2.116945805
783,-2.184106156
784,-2.414231918
785,-2.225109852
786,-2.100781311
787,-2.182506855
788,-2.048863204
789,-2.174913275
790,-2.461687095
791,-2.449994942
792,-2.12348508
793,-2.191160584
794,-2.085656345
795,-2.272435322
796,-2.427673299
797,-2.110983947
798,-2.053184633
799,-2.098098476
800,-2.10123112
801,-2.12490732
802,-2.387999063
803,-2.541079417
804,-2.423105161
805,-2.134556954
806,-2.461422795
807,-2.499649372
808,-2.278519357
809,-2.487328577
810,-2.085372967
811,-2.156948144
